"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"โค-ร-ต KORATA (Siam Square)","4.9","2543","สยามสแควร์ ซอย 3","เขตปทุมวัน","กรุงเทพมหานคร","TH","https://openlink.co/korata_th","+66 2 001 3746","ภัตตาคารอาหารไทย","ร้านอาหาร",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%84-%E0%B8%A3-%E0%B8%95%20KORATA%20(Siam%20Square)&query_place_id=ChIJ0xYxXwCf4jARPtJNOp_WXm8","ภัตตาคารอาหารไทย"
"TAAN Bangkok - Thai Fine Dining Restaurant","4.6","343","25th Fl, Siam@Siam Design Hotel Bangkok 865 ถ. พระรามที่ 1","เขตปทุมวัน","กรุงเทพมหานคร","TH","http://www.taanbangkok.com/?utm_content_GMB","+66 65 328 7374","ภัตตาคารอาหารไทย","ภัตตาคารอาหารแบบหรูหรา",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=TAAN%20Bangkok%20-%20Thai%20Fine%20Dining%20Restaurant&query_place_id=ChIJbV7JakqZ4jARz5eeuH1tuxE","ภัตตาคารอาหารไทย"
"Jim Thompson, A Thai Restaurant","4.8","3634","6/1,6 2 ซ. เกษมสันต์ 2","เขตปทุมวัน","กรุงเทพมหานคร","TH","https://jimthompsonrestaurant.com/restaurant/a-thai-restaurant/","+66 61 421 8951","ภัตตาคารอาหารไทย","ภัตตาคารอาหารเอเชีย","บาร์ค็อกเทล","สถานที่จัดกิจกรรม","ภัตตาคารอาหารแบบหรูหรา","ร้านอาหาร",,,,,"https://www.google.com/maps/search/?api=1&query=Jim%20Thompson%2C%20A%20Thai%20Restaurant&query_place_id=ChIJKVqr3I6Z4jARPi6t_zvvL1A","ภัตตาคารอาหารไทย"
"Miss Siam Restaurant (ห้องอาหารมิสสยาม)","4.7","49","400 ถ. พญาไท","เขตปทุมวัน","กรุงเทพมหานคร","TH",,"+66 2 217 0721","ร้านอาหาร",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Miss%20Siam%20Restaurant%20(%E0%B8%AB%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B8%A1%E0%B8%B4%E0%B8%AA%E0%B8%AA%E0%B8%A2%E0%B8%B2%E0%B8%A1)&query_place_id=ChIJ3-VagW6f4jARTZSahLdTbfM","ร้านอาหาร"
"White Flower Factory - ครัวดอกไม้ขาว","4.6","1521","Unit #SS 4009, 388 ถ. พระรามที่ 1","เขตปทุมวัน","กรุงเทพมหานคร","TH","https://lin.ee/apXJZm3","+66 99 002 0897","ภัตตาคารอาหารไทย","ร้านเบเกอรี่","ร้านของหวาน","ร้านอาหารฟิวชั่น",,,,,,,"https://www.google.com/maps/search/?api=1&query=White%20Flower%20Factory%20-%20%E0%B8%84%E0%B8%A3%E0%B8%B1%E0%B8%A7%E0%B8%94%E0%B8%AD%E0%B8%81%E0%B9%84%E0%B8%A1%E0%B9%89%E0%B8%82%E0%B8%B2%E0%B8%A7&query_place_id=ChIJ937RdtKe4jARPRuzBAQLNxc","ภัตตาคารอาหารไทย"
"Brooks brunch & bar Ari","4.8","1771","18 ซอย อารีย์ 4 ฝั่งเหนือ","เขตพญาไท","กรุงเทพมหานคร","TH","https://linktr.ee/brooks.brunchandbar","+66 64 936 4229","ร้านอาหาร","ภัตตาคารอาหารเช้าและกลางวัน",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Brooks%20brunch%20%26%20bar%20Ari&query_place_id=ChIJh4PTdWyd4jARLZPuo5nt_q4","ร้านอาหาร"
"Do Nūa - La Villa Ari","4.9","159","3rd Floor, 356 ถ. พหลโยธิน","เขตพญาไท","กรุงเทพมหานคร","TH","http://www.facebook.com/p/Do-N%C5%ABa-100090583812430","+66 62 546 0562","ภัตตาคารอาหารไทย",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Do%20N%C5%ABa%20-%20La%20Villa%20Ari&query_place_id=ChIJzSGKcbqd4jARz2juHM1CBWU","ภัตตาคารอาหารไทย"
"Cantina Italian Kitchen (Ari)","4.6","796","142 พระรามที่ 6 ซอย 30","เขตพญาไท","กรุงเทพมหานคร","TH","http://www.cantinabkk.com/","+66 2 038 5114","ร้านอาหารอิตาเลียน","ร้านอาหาร","บาร์ไวน์",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Cantina%20Italian%20Kitchen%20(Ari)&query_place_id=ChIJB7NJSKie4jARfoG2zttdIxU","ร้านอาหารอิตาเลียน"
"พาร์มา อารีย์","4.7","187","2 1 ซ. อารีย์สัมพันธ์ 4","เขตพญาไท","กรุงเทพมหานคร","TH","https://www.facebook.com/Parma.Ari","+66 82 294 9292","ร้านอาหารอิตาเลียน","บาร์ค็อกเทล","ร้านขนมหวาน","ร้านอาหารนำกลับบ้าน","ร้านอาหาร","บาร์ไวน์",,,,,"https://www.google.com/maps/search/?api=1&query=%E0%B8%9E%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%A1%E0%B8%B2%20%E0%B8%AD%E0%B8%B2%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B9%8C&query_place_id=ChIJuxXFDRyf4jAROApXe-uZPCw","ร้านอาหารอิตาเลียน"
"Luigi Bangkok","4.6","199","304/2 Vanit Place Aree, Building C 2nd floor, room, 204 ถ. พหลโยธิน","เขตพญาไท","กรุงเทพมหานคร","TH","https://www.instagram.com/luigibangkok/","+66 65 291 9928","ร้านอาหารอิตาเลียน","ร้านอาหาร",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Luigi%20Bangkok&query_place_id=ChIJtyd2APOf4jARzg2eG-R-yvY","ร้านอาหารอิตาเลียน"
